Customer_ID,First_Name,Last_Name,Email,Gender,City,Join_Date,Age,Income,Account_Type
1,Phyllida,Gowing,pgowing0@theglobeandmail.com,Female,Cihurip Satu,1/8/2017,38,45399,Checking
2,Chrisy,Hulles,chulles1@phpbb.com,Male,Stylída,3/1/2021,67,148990,Both
3,Elvera,Swannack,eswannack2@cnn.com,Female,Mianhu,10/3/2021,47,59490,Both
4,Layton,O'Mailey,lomailey3@google.nl,Male,Krivaja,11/2/2019,39,133955,Savings
5,Filippa,Godson,fgodson4@mail.ru,Female,Kaiama,1/11/2024,28,119523,Both
6,Eula,Billes,ebilles5@posterous.com,Female,Huangsha,1/19/2018,72,77377,Savings
7,Kelci,Dineen,kdineen6@g.co,Female,Yanjiang,2/23/2022,26,137621,Checking
8,Gifford,Berick,gberick7@ezinearticles.com,Male,Huimin,10/11/2020,34,88170,Savings
9,Pietro,Petyt,ppetyt8@studiopress.com,Male,Xubu,11/26/2024,55,63846,Checking
10,Juliet,Gebby,jgebby9@hp.com,Agender,Sarongan,6/12/2017,26,122558,Savings
11,Jens,Renshaw,jrenshawa@gov.uk,Male,Carvalhais,3/30/2017,40,68425,Both
12,Liuka,Possek,lpossekb@exblog.jp,Female,San Javier,7/22/2015,27,135787,Checking
13,Dorothea,Kobiela,dkobielac@paginegialle.it,Female,Danyang,4/25/2023,44,125121,Savings
14,Dru,Batchelour,dbatchelourd@ted.com,Bigender,Kiihtelysvaara,4/23/2024,71,73012,Savings
15,Brittne,Fairbanks,bfairbankse@nytimes.com,Polygender,Qijia,2/28/2022,32,40750,Both
16,Artie,Aisthorpe,aaisthorpef@reuters.com,Male,Itsandzéni,8/5/2022,18,71722,Checking
17,Cris,Nornasell,cnornasellg@example.com,Male,Tadjoura,4/16/2020,75,52271,Checking
18,Ula,Traill,utraillh@parallels.com,Female,Hekou,4/5/2024,35,123582,Savings
19,Augustine,Harrowing,aharrowingi@tumblr.com,Female,Cuauhtemoc,8/28/2020,58,69527,Both
20,Scotti,Offill,soffillj@patch.com,Genderqueer,Rymättylä,7/27/2019,26,119943,Checking
21,Marylee,Guerrin,mguerrink@pen.io,Genderqueer,Batouri,12/4/2020,72,138394,Checking
22,Sasha,Keeri,skeeril@icq.com,Female,Rumoi,11/12/2015,38,64526,Savings
23,Chas,Lain,clainm@gov.uk,Male,Karanganyar,2/11/2019,21,118956,Both
24,Gilda,Frazer,gfrazern@phoca.cz,Female,Heemstede,10/11/2018,67,134939,Checking
25,Corilla,Petow,cpetowo@imdb.com,Female,Bantengan,3/24/2019,52,102152,Both
26,Auguste,Phillott,aphillottp@state.gov,Female,Kassel,5/11/2016,29,34788,Savings
27,Massimiliano,Szymanski,mszymanskiq@comsenz.com,Male,Golomunta,7/9/2024,55,146832,Checking
28,Wileen,Willman,wwillmanr@barnesandnoble.com,Female,Antas,2/2/2016,27,71770,Checking
29,Rivi,Gilardone,rgilardones@prlog.org,Female,Guanlu,12/4/2023,23,79472,Both
30,Alikee,Minall,aminallt@live.com,Female,Сарај,7/20/2019,67,70726,Checking
31,Candace,Oliver-Paull,coliverpaullu@ycombinator.com,Female,Lekas,9/28/2018,62,130975,Checking
32,Camey,Ockleshaw,cockleshawv@t.co,Bigender,Heshui,5/6/2022,65,48330,Both
33,Karita,Garmons,kgarmonsw@is.gd,Female,El Retiro,1/31/2022,72,91000,Checking
34,Shawna,Whisson,swhissonx@ibm.com,Female,Turku,9/5/2022,28,119028,Savings
35,Bradley,Lavers,blaversy@weebly.com,Male,Bus’k,10/11/2021,70,116298,Checking
36,Chryste,Texton,ctextonz@pagesperso-orange.fr,Female,Vincennes,6/1/2018,60,107750,Checking
37,Ronnica,Kellitt,rkellitt10@fotki.com,Female,Kislyakovskaya,2/8/2023,54,47410,Checking
38,Stacee,Martel,smartel11@trellian.com,Genderfluid,Aomori Shi,9/11/2021,60,145491,Checking
39,Chlo,Gotthard.sf,cgotthardsf12@webmd.com,Female,Svetlyy,5/27/2015,52,76576,Checking
40,Tucky,Worsom,tworsom13@t.co,Genderfluid,Birigui,3/20/2023,52,30019,Savings
41,Silas,Pointer,spointer14@godaddy.com,Male,Libacao,7/23/2024,30,124691,Both
42,Rycca,Nisuis,rnisuis15@sohu.com,Female,Belize City,4/18/2017,66,93999,Checking
43,Tirrell,Burnett,tburnett16@spiegel.de,Male,Sovetakan,3/6/2018,25,60175,Checking
44,Albrecht,Rofe,arofe17@people.com.cn,Male,Wanying,4/30/2021,34,104630,Savings
45,Gerrie,Mitskevich,gmitskevich18@usatoday.com,Female,Río Guayabal de Yateras,7/14/2018,34,46518,Checking
46,Joella,Jenks,jjenks19@ted.com,Female,Muquiyauyo,3/31/2017,19,147136,Checking
47,Grenville,Yaldren,gyaldren1a@gnu.org,Male,Atimonan,3/19/2022,62,87987,Both
48,Harlan,Antushev,hantushev1b@comsenz.com,Male,Namboongan,1/17/2024,75,66378,Checking
49,Bjorn,Szymanek,bszymanek1c@youku.com,Genderfluid,Najin,1/6/2021,53,100525,Savings
50,Lucy,Canacott,lcanacott1d@google.es,Female,Liloan,6/9/2015,69,58203,Checking
51,Kit,Wynrahame,kwynrahame1e@woothemes.com,Male,Lengshui,9/13/2019,32,70450,Both
52,Addi,Partener,apartener1f@ibm.com,Female,Tabwakea Village,3/2/2015,69,145372,Checking
53,Patrizio,Nesbeth,pnesbeth1g@g.co,Male,Chigorodó,8/24/2016,27,146173,Checking
54,Leland,Killgus,lkillgus1h@php.net,Female,Muonio,7/29/2022,70,145128,Checking
55,Jefferey,McLeish,jmcleish1i@salon.com,Male,Tulsīpur,10/31/2018,31,134085,Both
56,Weber,Daines,wdaines1j@umich.edu,Male,Znamenskoye,10/16/2018,47,72425,Both
57,Mathilda,Lenham,mlenham1k@washington.edu,Female,Saguing,1/18/2021,53,122809,Both
58,Juan,Bodham,jbodham1l@walmart.com,Male,Baracoa,10/18/2019,23,73592,Both
59,Deena,Elstone,delstone1m@mac.com,Female,Yongfeng,6/30/2016,50,100046,Checking
60,Lesley,Brumham,lbrumham1n@oakley.com,Male,Milíkov,2/16/2017,73,41506,Both
61,Gregoor,Malthouse,gmalthouse1o@linkedin.com,Male,Safonovo,2/25/2021,24,67112,Checking
62,Johanna,Mackison,jmackison1p@dyndns.org,Female,Końskowola,9/11/2015,74,75468,Checking
63,Hobard,Ceresa,hceresa1q@reference.com,Male,Provins,10/27/2017,35,54069,Both
64,Myrilla,Vida,mvida1r@redcross.org,Female,Putrajawa,11/16/2016,64,48146,Both
65,Zachery,Folder,zfolder1s@furl.net,Male,Xianyan,8/10/2024,26,114129,Savings
