Transaction_ID,Customer_ID,Date,Category,Amount,Account_Balance,City_x,Channel,Source,Card_Id,Merchant,First_Name,Last_Name,Email,Gender,City_y,Join_Date,Age,Income,Account_Type
1.0,1,2022-03-15,Withdrawal,4057,,Berovo,Online,Checking,,,Phyllida,Gowing,pgowing0@theglobeandmail.com,Female,Cihurip Satu,2017-01-08,38,45399,Checking
2.0,2,2024-09-06,Transfer,3145,,Södertälje,Branch,Checking,,,Chrisy,Hulles,chulles1@phpbb.com,Male,Stylída,2021-03-01,67,148990,Both
3.0,3,2023-02-08,Transfer,3823,,Shilibu,ATM,Checking,,,Elvera,Swannack,eswannack2@cnn.com,Female,Mianhu,2021-10-03,47,59490,Both
4.0,4,2023-04-23,Transfer,1912,,Xiadong,Branch,Checking,,,Layton,O'Mailey,lomailey3@google.nl,Male,Krivaja,2019-11-02,39,133955,Savings
5.0,5,2023-02-04,Deposit,633,,Bayan Hure,Branch,Checking,,,Filippa,Godson,fgodson4@mail.ru,Female,Kaiama,2024-01-11,28,119523,Both
6.0,6,2024-04-08,Deposit,1755,,Vide,Online,Checking,,,Eula,Billes,ebilles5@posterous.com,Female,Huangsha,2018-01-19,72,77377,Savings
7.0,7,2024-01-07,Deposit,1044,,Capanema,Branch,Checking,,,Kelci,Dineen,kdineen6@g.co,Female,Yanjiang,2022-02-23,26,137621,Checking
8.0,8,2023-08-09,Withdrawal,397,,Kombissiri,ATM,Checking,,,Gifford,Berick,gberick7@ezinearticles.com,Male,Huimin,2020-10-11,34,88170,Savings
9.0,9,2022-05-27,Deposit,4968,,Graz,Branch,Checking,,,Pietro,Petyt,ppetyt8@studiopress.com,Male,Xubu,2024-11-26,55,63846,Checking
10.0,10,2024-04-08,Transfer,3495,,Fusagasuga,ATM,Checking,,,Juliet,Gebby,jgebby9@hp.com,Agender,Sarongan,2017-06-12,26,122558,Savings
11.0,11,2022-09-23,Transfer,4836,,Betim,ATM,Checking,,,Jens,Renshaw,jrenshawa@gov.uk,Male,Carvalhais,2017-03-30,40,68425,Both
12.0,12,2023-08-04,Deposit,3600,,Ōgaki,ATM,Checking,,,Liuka,Possek,lpossekb@exblog.jp,Female,San Javier,2015-07-22,27,135787,Checking
13.0,13,2024-10-04,Withdrawal,3540,,Si Bun Rueang,Online,Checking,,,Dorothea,Kobiela,dkobielac@paginegialle.it,Female,Danyang,2023-04-25,44,125121,Savings
14.0,14,2024-12-07,Deposit,4232,,Burtunay,ATM,Checking,,,Dru,Batchelour,dbatchelourd@ted.com,Bigender,Kiihtelysvaara,2024-04-23,71,73012,Savings
15.0,15,2023-05-11,Withdrawal,3953,,Tracal,ATM,Checking,,,Brittne,Fairbanks,bfairbankse@nytimes.com,Polygender,Qijia,2022-02-28,32,40750,Both
16.0,16,2023-01-07,Deposit,4902,,Kikerino,Online,Checking,,,Artie,Aisthorpe,aaisthorpef@reuters.com,Male,Itsandzéni,2022-08-05,18,71722,Checking
17.0,17,2022-12-14,Withdrawal,4836,,Načeradec,Branch,Checking,,,Cris,Nornasell,cnornasellg@example.com,Male,Tadjoura,2020-04-16,75,52271,Checking
18.0,18,2022-08-12,Withdrawal,4285,,Shanhou,Online,Checking,,,Ula,Traill,utraillh@parallels.com,Female,Hekou,2024-04-05,35,123582,Savings
19.0,19,2023-07-28,Withdrawal,1198,,Bagratashen,ATM,Checking,,,Augustine,Harrowing,aharrowingi@tumblr.com,Female,Cuauhtemoc,2020-08-28,58,69527,Both
20.0,20,2024-04-20,Transfer,4064,,Takayama,Branch,Checking,,,Scotti,Offill,soffillj@patch.com,Genderqueer,Rymättylä,2019-07-27,26,119943,Checking
21.0,21,2024-10-13,Deposit,4818,,Az Zaytūnīyah,Branch,Checking,,,Marylee,Guerrin,mguerrink@pen.io,Genderqueer,Batouri,2020-12-04,72,138394,Checking
22.0,22,2022-10-07,Withdrawal,4634,,Mexico,Branch,Checking,,,Sasha,Keeri,skeeril@icq.com,Female,Rumoi,2015-11-12,38,64526,Savings
23.0,23,2024-01-17,Deposit,1086,,Rymanów,Branch,Checking,,,Chas,Lain,clainm@gov.uk,Male,Karanganyar,2019-02-11,21,118956,Both
24.0,24,2024-02-01,Transfer,4034,,Ribeirão,Branch,Checking,,,Gilda,Frazer,gfrazern@phoca.cz,Female,Heemstede,2018-10-11,67,134939,Checking
25.0,25,2023-09-23,Transfer,1749,,Uzlovaya,ATM,Checking,,,Corilla,Petow,cpetowo@imdb.com,Female,Bantengan,2019-03-24,52,102152,Both
26.0,26,2023-07-12,Transfer,786,,Gaojialing,Online,Checking,,,Auguste,Phillott,aphillottp@state.gov,Female,Kassel,2016-05-11,29,34788,Savings
27.0,27,2023-10-01,Withdrawal,914,,Yonezawa,Online,Checking,,,Massimiliano,Szymanski,mszymanskiq@comsenz.com,Male,Golomunta,2024-07-09,55,146832,Checking
28.0,28,2024-01-20,Withdrawal,150,,Belang,ATM,Checking,,,Wileen,Willman,wwillmanr@barnesandnoble.com,Female,Antas,2016-02-02,27,71770,Checking
29.0,29,2024-11-17,Deposit,939,,Guang’an,ATM,Checking,,,Rivi,Gilardone,rgilardones@prlog.org,Female,Guanlu,2023-12-04,23,79472,Both
30.0,30,2022-08-22,Deposit,2965,,Amper,Branch,Checking,,,Alikee,Minall,aminallt@live.com,Female,Сарај,2019-07-20,67,70726,Checking
31.0,31,2024-07-26,Transfer,2082,,Libochovice,Branch,Checking,,,Candace,Oliver-Paull,coliverpaullu@ycombinator.com,Female,Lekas,2018-09-28,62,130975,Checking
32.0,32,2022-06-14,Withdrawal,2946,,Mayuge,Branch,Checking,,,Camey,Ockleshaw,cockleshawv@t.co,Bigender,Heshui,2022-05-06,65,48330,Both
33.0,33,2023-01-05,Deposit,2493,,Jalalaqsi,Branch,Checking,,,Karita,Garmons,kgarmonsw@is.gd,Female,El Retiro,2022-01-31,72,91000,Checking
34.0,34,2024-11-25,Deposit,4079,,Sayang Lauq,Branch,Checking,,,Shawna,Whisson,swhissonx@ibm.com,Female,Turku,2022-09-05,28,119028,Savings
35.0,35,2024-12-04,Deposit,3409,,Strezhevoy,Branch,Checking,,,Bradley,Lavers,blaversy@weebly.com,Male,Bus’k,2021-10-11,70,116298,Checking
36.0,36,2022-08-22,Deposit,1632,,Ngepoh Kidul,ATM,Checking,,,Chryste,Texton,ctextonz@pagesperso-orange.fr,Female,Vincennes,2018-06-01,60,107750,Checking
37.0,37,2023-06-21,Withdrawal,2540,,Likhoy,Online,Checking,,,Ronnica,Kellitt,rkellitt10@fotki.com,Female,Kislyakovskaya,2023-02-08,54,47410,Checking
38.0,38,2022-09-03,Deposit,4354,,Caen,Branch,Checking,,,Stacee,Martel,smartel11@trellian.com,Genderfluid,Aomori Shi,2021-09-11,60,145491,Checking
39.0,39,2023-08-01,Transfer,4261,,Gorichevo,Branch,Checking,,,Chlo,Gotthard.sf,cgotthardsf12@webmd.com,Female,Svetlyy,2015-05-27,52,76576,Checking
40.0,40,2024-02-25,Deposit,2315,,La Joya,Branch,Checking,,,Tucky,Worsom,tworsom13@t.co,Genderfluid,Birigui,2023-03-20,52,30019,Savings
41.0,41,2024-06-25,Deposit,1062,,Cincinnati,ATM,Checking,,,Silas,Pointer,spointer14@godaddy.com,Male,Libacao,2024-07-23,30,124691,Both
42.0,42,2024-06-30,Withdrawal,1462,,Purda,Online,Checking,,,Rycca,Nisuis,rnisuis15@sohu.com,Female,Belize City,2017-04-18,66,93999,Checking
43.0,43,2022-07-19,Withdrawal,512,,San Antonio,ATM,Checking,,,Tirrell,Burnett,tburnett16@spiegel.de,Male,Sovetakan,2018-03-06,25,60175,Checking
44.0,44,2022-08-31,Withdrawal,4655,,La Rioja,ATM,Checking,,,Albrecht,Rofe,arofe17@people.com.cn,Male,Wanying,2021-04-30,34,104630,Savings
45.0,45,2022-01-21,Transfer,3217,,Qaryūt,ATM,Checking,,,Gerrie,Mitskevich,gmitskevich18@usatoday.com,Female,Río Guayabal de Yateras,2018-07-14,34,46518,Checking
46.0,46,2024-04-26,Deposit,2925,,Qimantage,Branch,Checking,,,Joella,Jenks,jjenks19@ted.com,Female,Muquiyauyo,2017-03-31,19,147136,Checking
47.0,47,2022-02-19,Withdrawal,1149,,Rochester,Online,Checking,,,Grenville,Yaldren,gyaldren1a@gnu.org,Male,Atimonan,2022-03-19,62,87987,Both
